Symbol,Date,Open,Low,High,Close,Volume
AAPL,2017-09-15,158.47,158.0,160.97,159.88,49114602
AAPL,2017-09-18,160.11,157.995,160.5,158.67,28269435
AAPL,2017-09-19,159.51,158.44,159.77,158.73,20810632
AAPL,2017-09-20,157.9,153.83,158.26,156.07,52951364
AAPL,2017-09-21,155.8,152.75,155.8,153.39,37511661
AAPL,2017-09-22,152.02,150.56,152.27,151.89,46645443
AAPL,2017-09-25,149.99,149.16,151.83,150.55,44387336
AAPL,2017-09-26,151.78,151.69,153.92,153.14,36660045
AAPL,2017-09-27,153.8,153.54,154.7189,154.23,25504227
AAPL,2017-09-28,153.89,152.7,154.28,153.28,22005455
AAPL,2017-09-29,153.21,152.0,154.13,154.12,26299810
AAPL,2017-10-02,154.26,152.72,154.45,153.81,18698842
AAPL,2017-10-03,154.01,153.91,155.09,154.48,16230293
AAPL,2017-10-04,153.63,152.46,153.86,153.48,20163750
AAPL,2017-10-05,154.18,154.05,155.44,155.39,21283769
AAPL,2017-10-06,154.97,154.56,155.49,155.3,17407558
AAPL,2017-10-09,155.81,155.485,156.73,155.84,16262923
AAPL,2017-10-10,156.055,155.1,158.0,155.9,15617014
AAPL,2017-10-11,155.97,155.75,156.98,156.55,16905640
AAPL,2017-10-12,156.35,155.7299,157.37,156.0,16125053
AAPL,2017-10-13,156.73,156.41,157.28,156.99,16394188
AAPL,2017-10-16,157.9,157.65,160.0,159.88,24121452
AAPL,2017-10-17,159.78,159.23,160.87,160.47,18997275
AAPL,2017-10-18,160.42,159.6,160.71,159.76,16374164
AAPL,2017-10-19,156.75,155.02,157.08,155.98,42584166
AAPL,2017-10-20,156.61,155.96,157.75,156.25,23974146
AAPL,2017-10-23,156.89,155.5,157.69,156.17,21984327
AAPL,2017-10-24,156.29,156.2,157.42,157.1,17757230
AAPL,2017-10-25,156.91,155.27,157.55,156.41,21207098
AAPL,2017-10-26,157.23,156.78,157.8295,157.41,17000469
AAPL,2017-10-27,159.29,158.7,163.6,163.05,44454160
AAPL,2017-10-30,163.89,163.72,168.07,166.72,44700772
AAPL,2017-10-31,167.9,166.94,169.6499,169.04,36046828
AAPL,2017-11-01,169.87,165.61,169.94,166.89,33637762
AAPL,2017-11-02,167.64,165.28,168.5,168.11,41393373
AAPL,2017-11-03,174.0,171.12,174.26,172.5,59398631
AAPL,2017-11-06,172.365,171.72,174.99,174.25,35026306
AAPL,2017-11-07,173.91,173.6,175.25,174.81,24361485
AAPL,2017-11-08,174.66,174.33,176.24,176.24,24409527
AAPL,2017-11-09,175.11,173.14,176.095,175.88,29482596
AAPL,2017-11-10,175.11,174.27,175.38,174.67,25145500
AAPL,2017-11-13,173.5,173.4,174.5,173.97,16982080
AAPL,2017-11-14,173.04,171.18,173.48,171.34,24782487
AAPL,2017-11-15,169.97,168.38,170.3197,169.08,29158070
AAPL,2017-11-16,171.18,170.3,171.87,171.1,23637484
AAPL,2017-11-17,171.04,169.64,171.39,170.15,21899544
AAPL,2017-11-20,170.29,169.56,170.56,169.98,16262447
AAPL,2017-11-21,170.78,170.78,173.7,173.14,25131295
AAPL,2017-11-22,173.36,173.05,175.0,174.96,25588925
AAPL,2017-11-23,174.96,174.96,174.96,174.96,0
AAPL,2017-11-24,175.1,174.6459,175.5,174.97,14026673
AAPL,2017-11-27,175.05,173.34,175.08,174.09,20716802
AAPL,2017-11-28,174.3,171.86,174.87,173.07,26428802
AAPL,2017-11-29,172.63,167.16,172.92,169.48,41666364
AAPL,2017-11-30,170.43,168.44,172.14,171.85,41527218
AAPL,2017-12-01,169.95,168.5,171.67,171.05,39759288
AAPL,2017-12-04,172.48,169.63,172.62,169.8,32542385
AAPL,2017-12-05,169.06,168.4,171.52,169.64,27350154
AAPL,2017-12-06,167.5,166.46,170.2047,169.01,28560000
AAPL,2017-12-07,169.03,168.91,170.44,169.32,25673308
AAPL,2017-12-08,170.49,168.82,171.0,169.37,23355231
